Class,Precision,Recall,mAP50,mAP50-95
asteromphalus_hyalinus,1.0,1.0,0.995,0.9909980836236933
ceratium_furca,0.9951967082458861,1.0,0.995,0.9141504185122807
ceratium_trichorecos,0.9901308150511743,1.0,0.995,0.9949999999999999
chaetoceros_curvisetus,0.987314769898544,1.0,0.995,0.9845456858178053
coscinodiscus_oculus_iridis,0.9900206632059312,1.0,0.995,0.9949999999999999
dinophysis_caudata,0.9966132539992056,1.0,0.995,0.9763200759333621
dinophysis_miles,0.9941098178252765,1.0,0.995,0.9792802827046987
eucampia_zodiacus,1.0,1.0,0.995,0.99362
noctilluca_scintillans,0.9905776684491834,1.0,0.995,0.9917015037593984
odontella_mobiliensis,0.9899531947983241,1.0,0.995,0.9915368243243243
ornithocercus_thumii,0.9924281665557997,1.0,0.995,0.9949999999999999
planktoniella_sol,0.9906719083925288,1.0,0.995,0.9949999999999999
podolampas_bipes,0.9911514170604049,1.0,0.995,0.9949999999999999
proboscia_alata,0.9937167862050815,1.0,0.995,0.9846557835540279
prorocentrum_micans,0.9918099056015076,1.0,0.995,0.9928543554006968
protoperidinium_oceanicum,1.0,1.0,0.995,0.9949999999999999
pseudo_nitzschia,1.0,0.9697246789974919,0.995,0.8890383154121864
skeletonema_costatum,0.9926475531234963,1.0,0.995,0.9870822645502646
thalassionema_nitzschioides,0.9915654692516074,1.0,0.995,0.9814601511452803
trichodesmium_erythraeum,0.9960381326616363,1.0,0.995,0.9379456896140171
all,0.9936973115162793,0.9984862339498746,0.9950000000000001,0.9782594717176016
